nct_id,intervention_name,intervention_type,condition,phase,overall_status,sponsor,smiles
NCT05005182,Biospecimen Collection,PROCEDURE,"Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis, Not Otherwise Specified; Myelodysplastic/Myeloproliferative Neoplasm, Not Otherwise Specified",phase2,TERMINATED,Mayo Clinic,
NCT05005182,Bone Marrow Aspiration,PROCEDURE,"Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis, Not Otherwise Specified; Myelodysplastic/Myeloproliferative Neoplasm, Not Otherwise Specified",phase2,TERMINATED,Mayo Clinic,
NCT05005182,Bone Marrow Biopsy,PROCEDURE,"Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis, Not Otherwise Specified; Myelodysplastic/Myeloproliferative Neoplasm, Not Otherwise Specified",phase2,TERMINATED,Mayo Clinic,
NCT05005182,Hydroxyurea,DRUG,"Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis, Not Otherwise Specified; Myelodysplastic/Myeloproliferative Neoplasm, Not Otherwise Specified",phase2,TERMINATED,Mayo Clinic,
NCT05005182,Luspatercept,BIOLOGICAL,"Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis, Not Otherwise Specified; Myelodysplastic/Myeloproliferative Neoplasm, Not Otherwise Specified",phase2,TERMINATED,Mayo Clinic,
NCT05005182,Questionnaire Administration,OTHER,"Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis, Not Otherwise Specified; Myelodysplastic/Myeloproliferative Neoplasm, Not Otherwise Specified",phase2,TERMINATED,Mayo Clinic,
NCT00865878,Aminolevulinic Acid,DRUG,Actinic Keratoses; Skin Neoplasms,phase2,TERMINATED,"DUSA Pharmaceuticals, Inc.",
NCT00865878,Vehicle,OTHER,Actinic Keratoses; Skin Neoplasms,phase2,TERMINATED,"DUSA Pharmaceuticals, Inc.",
NCT05753735,Piperacillin/Tazobactam,DRUG,Pancreatic Fistula,phase2,TERMINATED,Case Comprehensive Cancer Center,
NCT05753735,Amoxicillin/ Clavulanic acid,DRUG,Pancreatic Fistula,phase2,TERMINATED,Case Comprehensive Cancer Center,
NCT00912990,Cisatracurium,DRUG,"Intubation,Endotracheal",na,TERMINATED,"Rady Children's Hospital, San Diego",
NCT00912990,Normal saline,DRUG,"Intubation,Endotracheal",na,TERMINATED,"Rady Children's Hospital, San Diego",
NCT00513513,TMC114 (darunavir) / ritonavir,DRUG,HIV Infections,phase2,TERMINATED,"Tibotec Pharmaceuticals, Ireland",
NCT04703413,LoFric® OrigoTM and LoFric® SenseTM,DEVICE,Bladder Voiding Dysfunction,na,TERMINATED,Wellspect HealthCare,
NCT04420585,Desmopressin,DRUG,"Nocturnal Enuresis; Anemia, Sickle Cell",phase4,TERMINATED,Montefiore Medical Center,
NCT05457478,Medical Device Qardio® smart scale Usage and Evaluation,OTHER,Head and Neck Squamous Cell Carcinoma; Malignant Head and Neck Neoplasm,na,TERMINATED,OHSU Knight Cancer Institute,
NCT05457478,Questionnaire Administration,OTHER,Head and Neck Squamous Cell Carcinoma; Malignant Head and Neck Neoplasm,na,TERMINATED,OHSU Knight Cancer Institute,
NCT03350178,fecal microbiota transfer,DRUG,Intensive Care Units; Fecal Microbiota Transplantation,phase2,TERMINATED,MaaT Pharma,
NCT05200143,Ipilimumab,DRUG,Refractory Cutaneous Melanoma,phase2,TERMINATED,Providence Health & Services,
NCT05200143,Nivolumab,DRUG,Refractory Cutaneous Melanoma,phase2,TERMINATED,Providence Health & Services,
NCT05200143,Cabozantinib,DRUG,Refractory Cutaneous Melanoma,phase2,TERMINATED,Providence Health & Services,
NCT04110015,virtual visual field,DEVICE,Visual Pathway Disorder; Glaucoma; Retinal Disease,na,TERMINATED,New York City Health and Hospitals Corporation,
NCT00996008,placebo,DRUG,Mild to Moderate Atopic Dermatitis,phase2,TERMINATED,Creabilis SA,
NCT00996008,CT 327,DRUG,Mild to Moderate Atopic Dermatitis,phase2,TERMINATED,Creabilis SA,
NCT01044225,Cetuximab,DRUG,Glioblastoma,phase2,TERMINATED,Bart Neyns,
NCT01044225,Cilengitide EMD 121974,DRUG,Glioblastoma,phase2,TERMINATED,Bart Neyns,
NCT03054025,Smart Phone Monitoring Device,DEVICE,Breast Cancer,na,TERMINATED,Sidney Kimmel Cancer Center at Thomas Jefferson University,
NCT00761176,The Provant Therapy System,DEVICE,Diabetic Foot Ulcers,na,TERMINATED,"Regenesis Biomedical, Inc.",
NCT02052440,Baclofen,DRUG,Alcohol Withdrawal Syndrome,phase3,TERMINATED,Denver Health and Hospital Authority,
NCT02052440,Placebo,DRUG,Alcohol Withdrawal Syndrome,phase3,TERMINATED,Denver Health and Hospital Authority,
NCT01165450,Nexagon,DRUG,Persistent Corneal Epithelial Defects,phase2,TERMINATED,"University of California, San Francisco",
NCT01165450,Vehicle only,DRUG,Persistent Corneal Epithelial Defects,phase2,TERMINATED,"University of California, San Francisco",
NCT00598091,gemcitabine,DRUG,Refractory Solid Tumors; Pancreatic Adenocarcinoma,phase1,TERMINATED,Duke University,
NCT00598091,dasatinib,DRUG,Refractory Solid Tumors; Pancreatic Adenocarcinoma,phase1,TERMINATED,Duke University,
NCT00598091,gemcitabine,DRUG,Refractory Solid Tumors; Pancreatic Adenocarcinoma,phase1,TERMINATED,Duke University,
NCT00598091,dasatinib,DRUG,Refractory Solid Tumors; Pancreatic Adenocarcinoma,phase1,TERMINATED,Duke University,
NCT05008874,Natural History Observation,OTHER,AMN; AMN Gene Mutation; X-ALD,na,TERMINATED,"SwanBio Therapeutics, Inc.",
NCT00760318,Keppra,DRUG,Cervical Dystonia,phase2,TERMINATED,University of South Florida,
NCT00447226,Oral lapatinib tablets or placebo tablets,DRUG,Cancer,phase2,TERMINATED,GlaxoSmithKline,
NCT00706485,Yttrium-90 Plaque Applicator,DEVICE,Spinal Neoplasms,na,TERMINATED,Massachusetts General Hospital,
NCT03497715,Ibuprofen lysine,DRUG,Healthy Subjects,phase1,TERMINATED,Reckitt Benckiser Healthcare (UK) Limited,
NCT03497715,Ibuprofen Sodium,DRUG,Healthy Subjects,phase1,TERMINATED,Reckitt Benckiser Healthcare (UK) Limited,
NCT03497715,Ibuprofen,DRUG,Healthy Subjects,phase1,TERMINATED,Reckitt Benckiser Healthcare (UK) Limited,
NCT03497715,Ibuprofen (Nurofen),DRUG,Healthy Subjects,phase1,TERMINATED,Reckitt Benckiser Healthcare (UK) Limited,
NCT03497715,Ibuprofen (Wockhardt),DRUG,Healthy Subjects,phase1,TERMINATED,Reckitt Benckiser Healthcare (UK) Limited,
NCT00780325,CG100649 (2 mg),DRUG,Healthy Volunteers,phase1,TERMINATED,University of Pennsylvania,
NCT00780325,Celecoxib,DRUG,Healthy Volunteers,phase1,TERMINATED,University of Pennsylvania,
NCT00780325,Placebo capsules,DRUG,Healthy Volunteers,phase1,TERMINATED,University of Pennsylvania,
NCT00780325,Naproxen,DRUG,Healthy Volunteers,phase1,TERMINATED,University of Pennsylvania,
NCT00780325,Acetazolamide,DRUG,Healthy Volunteers,phase1,TERMINATED,University of Pennsylvania,
NCT00780325,CG100649 (8 mg),DRUG,Healthy Volunteers,phase1,TERMINATED,University of Pennsylvania,
NCT02957617,BIIB074,DRUG,Neuropathic Pain From Lumbosacral Radiculopathy,phase2,TERMINATED,Biogen,
NCT00147940,Acoustic rhinometry (procedure),PROCEDURE,Allergy,phase4,TERMINATED,University of Chicago,
NCT03708289,DXA scan,RADIATION,HIV-1; Treatment-naïve,na,TERMINATED,Universitair Ziekenhuis Brussel,
NCT03708289,Achilles bone US,OTHER,HIV-1; Treatment-naïve,na,TERMINATED,Universitair Ziekenhuis Brussel,
NCT03708289,Medical body composition measurements,OTHER,HIV-1; Treatment-naïve,na,TERMINATED,Universitair Ziekenhuis Brussel,
NCT03708289,Resting energy expenditure measurement,OTHER,HIV-1; Treatment-naïve,na,TERMINATED,Universitair Ziekenhuis Brussel,
NCT03699410,Neoadjuvant radiotherapy,RADIATION,Locally Advanced Rectal Cancer,na,TERMINATED,Dimitri Christoforidis,
NCT03699410,Neoadjuvant chemotherapy,DRUG,Locally Advanced Rectal Cancer,na,TERMINATED,Dimitri Christoforidis,
NCT03699410,Radical surgery,PROCEDURE,Locally Advanced Rectal Cancer,na,TERMINATED,Dimitri Christoforidis,
NCT00805285,Combination Oral Budesonide and Rectal Hydrocortisone,DRUG,Inflammatory Bowel Disease; Ulcerative Colitis,phase2,TERMINATED,"University of Maryland, Baltimore",
NCT03525535,data collection,OTHER,Pulmonary Embolism,na,TERMINATED,Centre Hospitalier Intercommunal de Toulon La Seyne sur Mer,
NCT06243835,Kindolor Tosylate,DRUG,Chronic Pain,phase1,TERMINATED,Lohocla Research Corporation,
NCT06243835,Placebo,DRUG,Chronic Pain,phase1,TERMINATED,Lohocla Research Corporation,
NCT01805908,111In-Pertuzumab + SPECT-CT,OTHER,Breast Cancer,phase1,TERMINATED,Ontario Clinical Oncology Group (OCOG),
NCT01088035,Carboplatin,DRUG,Ependymoma,phase2,TERMINATED,Ann & Robert H Lurie Children's Hospital of Chicago,
NCT01777776,LEE011,DRUG,Locally Advanced Metastatic BRAF Mutant Melanoma,phase1; phase2,TERMINATED,Array BioPharma,
NCT01777776,LGX818,DRUG,Locally Advanced Metastatic BRAF Mutant Melanoma,phase1; phase2,TERMINATED,Array BioPharma,
NCT05129540,Custom-made foot orthosis,DEVICE,Chronic Sciatica; Foot Deformity,na,TERMINATED,University of Seville,
NCT05129540,Placebo orthosis,DEVICE,Chronic Sciatica; Foot Deformity,na,TERMINATED,University of Seville,
NCT06659289,Efferon LPS,DEVICE,Cardiac Disease; Multiple Organ Dysfunction Syndrome,na,TERMINATED,Efferon JSC,
NCT00776191,Physioneal 35,DRUG,Endstage Renal Disease,phase4,TERMINATED,University of Erlangen-Nürnberg Medical School,
NCT00776191,Physioneal 40,DRUG,Endstage Renal Disease,phase4,TERMINATED,University of Erlangen-Nürnberg Medical School,
NCT05204485,Fibular intramedullary nail,PROCEDURE,Ankle Fractures,na,TERMINATED,University of Chicago,
NCT05204485,Open reduction and internal fixation,PROCEDURE,Ankle Fractures,na,TERMINATED,University of Chicago,
NCT00933985,dexrazoxane hydrochloride,DRUG,Acute Leukemias of Ambiguous Lineage; Acute Undifferentiated Leukemia; Angioimmunoblastic T-cell Lymphoma; Blastic Phase Chronic Myelogenous Leukemia; Childhood Burkitt Lymphoma; Childhood Chronic Mye,phase1,TERMINATED,National Cancer Institute (NCI),
NCT00933985,doxorubicin hydrochloride,DRUG,Acute Leukemias of Ambiguous Lineage; Acute Undifferentiated Leukemia; Angioimmunoblastic T-cell Lymphoma; Blastic Phase Chronic Myelogenous Leukemia; Childhood Burkitt Lymphoma; Childhood Chronic Mye,phase1,TERMINATED,National Cancer Institute (NCI),
NCT00933985,obatoclax mesylate,DRUG,Acute Leukemias of Ambiguous Lineage; Acute Undifferentiated Leukemia; Angioimmunoblastic T-cell Lymphoma; Blastic Phase Chronic Myelogenous Leukemia; Childhood Burkitt Lymphoma; Childhood Chronic Mye,phase1,TERMINATED,National Cancer Institute (NCI),
NCT00933985,liposomal vincristine sulfate,DRUG,Acute Leukemias of Ambiguous Lineage; Acute Undifferentiated Leukemia; Angioimmunoblastic T-cell Lymphoma; Blastic Phase Chronic Myelogenous Leukemia; Childhood Burkitt Lymphoma; Childhood Chronic Mye,phase1,TERMINATED,National Cancer Institute (NCI),
NCT00933985,pharmacological study,OTHER,Acute Leukemias of Ambiguous Lineage; Acute Undifferentiated Leukemia; Angioimmunoblastic T-cell Lymphoma; Blastic Phase Chronic Myelogenous Leukemia; Childhood Burkitt Lymphoma; Childhood Chronic Mye,phase1,TERMINATED,National Cancer Institute (NCI),
NCT00933985,laboratory biomarker analysis,OTHER,Acute Leukemias of Ambiguous Lineage; Acute Undifferentiated Leukemia; Angioimmunoblastic T-cell Lymphoma; Blastic Phase Chronic Myelogenous Leukemia; Childhood Burkitt Lymphoma; Childhood Chronic Mye,phase1,TERMINATED,National Cancer Institute (NCI),
NCT00334685,"[S,S]-Reboxetine + Pregabalin",DRUG,Pain,phase2,TERMINATED,Pfizer,
NCT00334685,Pregabalin,DRUG,Pain,phase2,TERMINATED,Pfizer,
NCT02910115,Cold laparotomy sponges,OTHER,Blood Loss; Dysfunctional Labor; Uterine Atony,na,TERMINATED,Baylor Research Institute,
NCT02910115,Pitocin,DRUG,Blood Loss; Dysfunctional Labor; Uterine Atony,na,TERMINATED,Baylor Research Institute,
NCT03596125,N-acetylcysteine,DRUG,Preterm Delivery,phase2; phase3,TERMINATED,Nantes University Hospital,
NCT03596125,Placebo,DRUG,Preterm Delivery,phase2; phase3,TERMINATED,Nantes University Hospital,
NCT04634825,Enoblituzumab,BIOLOGICAL,Head and Neck Cancer; Head and Neck Neoplasms; Head and Neck Squamous Cell Carcinoma,phase2,TERMINATED,MacroGenics,
NCT04634825,Retifanlimab,BIOLOGICAL,Head and Neck Cancer; Head and Neck Neoplasms; Head and Neck Squamous Cell Carcinoma,phase2,TERMINATED,MacroGenics,
NCT04634825,Tebotelimab,BIOLOGICAL,Head and Neck Cancer; Head and Neck Neoplasms; Head and Neck Squamous Cell Carcinoma,phase2,TERMINATED,MacroGenics,
NCT02087176,AZD1775,DRUG,Previously Treated Non Small Cell Lung Cancer,phase2,TERMINATED,AstraZeneca,
NCT02087176,AZD1775 Placebo,DRUG,Previously Treated Non Small Cell Lung Cancer,phase2,TERMINATED,AstraZeneca,
NCT02087176,Antimitotic Agent,DRUG,Previously Treated Non Small Cell Lung Cancer,phase2,TERMINATED,AstraZeneca,
NCT02087176,pegfiligrastim,DRUG,Previously Treated Non Small Cell Lung Cancer,phase2,TERMINATED,AstraZeneca,
NCT06095817,Internet Delivered Brief Intervention (IDBI),BEHAVIORAL,Alcohol Use Disorder; Depression,na,TERMINATED,Cornell University,
NCT04661540,CM4620-IE (Injectable Emulsion),DRUG,Pneumonia,phase2,TERMINATED,"CalciMedica, Inc.",
NCT04661540,Placebo,DRUG,Pneumonia,phase2,TERMINATED,"CalciMedica, Inc.",
NCT01820650,iTotal G2 CR Knee Replacement System,DEVICE,Osteoarthritis of the Knee,na,TERMINATED,Restor3D,
NCT05051150,Epinephrin 0.03,DRUG,Post-spinal Hypotension; Cesarean Section,phase4,TERMINATED,Kasr El Aini Hospital,
NCT05051150,Epinephrin 0.05,DRUG,Post-spinal Hypotension; Cesarean Section,phase4,TERMINATED,Kasr El Aini Hospital,
NCT05051150,Epinephrin 0.07,DRUG,Post-spinal Hypotension; Cesarean Section,phase4,TERMINATED,Kasr El Aini Hospital,
NCT00254891,PF-3512676 + Paclitaxel + Carboplatin,DRUG,"Carcinoma, Non-Small-Cell Lung",phase3,TERMINATED,Pfizer,
NCT00254891,Paclitaxel + Carboplatin,DRUG,"Carcinoma, Non-Small-Cell Lung",phase3,TERMINATED,Pfizer,
NCT00102791,ICA-17043,DRUG,Sickle Cell Disease,phase3,TERMINATED,Icagen,
NCT00252174,Stage 1 Active Methylenedioxymethamphetamine,DRUG,Anxiety Disorder; Cancer,phase2,TERMINATED,Brigham and Women's Hospital,
NCT00252174,Stage 1 Low dose Methylenedioxymethamphetamine,DRUG,Anxiety Disorder; Cancer,phase2,TERMINATED,Brigham and Women's Hospital,
NCT00252174,Psychotherapy,BEHAVIORAL,Anxiety Disorder; Cancer,phase2,TERMINATED,Brigham and Women's Hospital,
NCT00252174,Stage 2 Active Methylenedioxymethamphetamine,DRUG,Anxiety Disorder; Cancer,phase2,TERMINATED,Brigham and Women's Hospital,
NCT01533818,Amoxicillin,DRUG,Fast Breathing in Young Infants,phase4,TERMINATED,Aga Khan University,
NCT01533818,Sugar Syrup,DRUG,Fast Breathing in Young Infants,phase4,TERMINATED,Aga Khan University,
NCT01866774,Fecal calprotectin level,OTHER,Chronic Abdominal Pain; Chronic Diarrhea,na,TERMINATED,Queen's University,
NCT00967343,Donor lymphocyte preparation depleted of host functional alloreactive T-cells,BIOLOGICAL,Myeloid Leukemia; Lymphoblastic Leukemia; Lymphoma; Multiple Myeloma; Myelodysplastic Syndrome; Myeloproliferative Disorders,phase2; phase3,TERMINATED,Kiadis Pharma,
NCT01647308,ISIS-APOCIIIRX,DRUG,Type 2 Diabetes,phase2,TERMINATED,"Ionis Pharmaceuticals, Inc.",
NCT01647308,Placebo,DRUG,Type 2 Diabetes,phase2,TERMINATED,"Ionis Pharmaceuticals, Inc.",
NCT00058825,Campath 1H,BIOLOGICAL,Hematologic Malignancies,phase1; phase2,TERMINATED,Baylor College of Medicine,
NCT00058825,Fludarabine,DRUG,Hematologic Malignancies,phase1; phase2,TERMINATED,Baylor College of Medicine,
NCT00058825,Stem Cell Transplant,PROCEDURE,Hematologic Malignancies,phase1; phase2,TERMINATED,Baylor College of Medicine,
NCT00058825,Total Body Irradiation (TBI),RADIATION,Hematologic Malignancies,phase1; phase2,TERMINATED,Baylor College of Medicine,
NCT00058825,FK506 (Tacrolimus) or Cyclosporine,DRUG,Hematologic Malignancies,phase1; phase2,TERMINATED,Baylor College of Medicine,
NCT01464476,Azimilide Dihydrochloride,DRUG,"Arrhythmias, Cardiac; Heart Diseases; Cardiovascular Diseases; Implantable Cardioverter Defibrillator",phase3,TERMINATED,Forest Laboratories,
NCT01464476,Placebo,DRUG,"Arrhythmias, Cardiac; Heart Diseases; Cardiovascular Diseases; Implantable Cardioverter Defibrillator",phase3,TERMINATED,Forest Laboratories,
NCT03129776,Hyperpolarized 13C-Pyruvate,DRUG,Uterine Cervical Neoplasms,phase1,TERMINATED,Sunnybrook Health Sciences Centre,
NCT03129776,18F-FDG,DRUG,Uterine Cervical Neoplasms,phase1,TERMINATED,Sunnybrook Health Sciences Centre,
NCT02441517,Enzalutamide,DRUG,Metastatic Castration Resistant Prostate Cancer,phase4,TERMINATED,"Astellas Pharma Global Development, Inc.",
NCT04541017,Biospecimen Collection,PROCEDURE,Mycosis Fungoides; Recurrent Mycosis Fungoides; Recurrent Mycosis Fungoides and Sezary Syndrome; Recurrent Sezary Syndrome; Refractory Mycosis Fungoides; Refractory Mycosis Fungoides and Sezary Syndro,phase1; phase2,TERMINATED,National Cancer Institute (NCI),
NCT04541017,Computed Tomography,PROCEDURE,Mycosis Fungoides; Recurrent Mycosis Fungoides; Recurrent Mycosis Fungoides and Sezary Syndrome; Recurrent Sezary Syndrome; Refractory Mycosis Fungoides; Refractory Mycosis Fungoides and Sezary Syndro,phase1; phase2,TERMINATED,National Cancer Institute (NCI),
NCT04541017,Magrolimab,BIOLOGICAL,Mycosis Fungoides; Recurrent Mycosis Fungoides; Recurrent Mycosis Fungoides and Sezary Syndrome; Recurrent Sezary Syndrome; Refractory Mycosis Fungoides; Refractory Mycosis Fungoides and Sezary Syndro,phase1; phase2,TERMINATED,National Cancer Institute (NCI),
NCT04541017,Mogamulizumab,BIOLOGICAL,Mycosis Fungoides; Recurrent Mycosis Fungoides; Recurrent Mycosis Fungoides and Sezary Syndrome; Recurrent Sezary Syndrome; Refractory Mycosis Fungoides; Refractory Mycosis Fungoides and Sezary Syndro,phase1; phase2,TERMINATED,National Cancer Institute (NCI),
NCT04541017,Positron Emission Tomography,PROCEDURE,Mycosis Fungoides; Recurrent Mycosis Fungoides; Recurrent Mycosis Fungoides and Sezary Syndrome; Recurrent Sezary Syndrome; Refractory Mycosis Fungoides; Refractory Mycosis Fungoides and Sezary Syndro,phase1; phase2,TERMINATED,National Cancer Institute (NCI),
NCT04541017,Punch Biopsy,PROCEDURE,Mycosis Fungoides; Recurrent Mycosis Fungoides; Recurrent Mycosis Fungoides and Sezary Syndrome; Recurrent Sezary Syndrome; Refractory Mycosis Fungoides; Refractory Mycosis Fungoides and Sezary Syndro,phase1; phase2,TERMINATED,National Cancer Institute (NCI),
NCT04019613,Lung ultrasound,OTHER,Dyspnea; Heart Failure With Preserved Ejection Fraction,na,TERMINATED,Mayo Clinic,
NCT03195660,ASV Therapy,DEVICE,Heart Failure With Normal Ejection Fraction; Sleep Apnea,na,TERMINATED,ResMed,
NCT02220088,TAI of FOLFOX,PROCEDURE,Hepatocellular Carcinoma,phase2; phase3,TERMINATED,Sun Yat-sen University,
NCT02220088,Sorafenib,DRUG,Hepatocellular Carcinoma,phase2; phase3,TERMINATED,Sun Yat-sen University,
NCT00400127,Silesian suspension belt,DEVICE,Amputee,na,TERMINATED,Nova Scotia Health Authority,
NCT02500927,ASP8273 Capsules,DRUG,EGFR-TKI-naïve Patients With NSCLC Harboring EGFR Activating Mutations,phase2,TERMINATED,Astellas Pharma Inc,
NCT02500927,ASP8273 Capsules A,DRUG,EGFR-TKI-naïve Patients With NSCLC Harboring EGFR Activating Mutations,phase2,TERMINATED,Astellas Pharma Inc,
NCT00077961,CAMPATH (alemtuzumab),DRUG,Non-Hodgkin's Lymphoma,phase1; phase2,TERMINATED,"Genzyme, a Sanofi Company",
NCT01911273,PF-03446962,DRUG,"Carcinoma, Hepatocellular",phase2,TERMINATED,Pfizer,
NCT01911273,Best Supportive Care,OTHER,"Carcinoma, Hepatocellular",phase2,TERMINATED,Pfizer,
NCT01911273,Placebo,OTHER,"Carcinoma, Hepatocellular",phase2,TERMINATED,Pfizer,
NCT01911273,Best Supportive Care,OTHER,"Carcinoma, Hepatocellular",phase2,TERMINATED,Pfizer,
NCT05251805,"Blood, bone marrow and lung tumor tissue collection",PROCEDURE,Non Small Cell Lung Cancer,na,TERMINATED,Universitair Ziekenhuis Brussel,
NCT01347866,PF-05212384,DRUG,Advanced Cancer,phase1,TERMINATED,Pfizer,
NCT01347866,PD-0325901,DRUG,Advanced Cancer,phase1,TERMINATED,Pfizer,
NCT01347866,PF-05212384,DRUG,Advanced Cancer,phase1,TERMINATED,Pfizer,
NCT01347866,irinotecan,DRUG,Advanced Cancer,phase1,TERMINATED,Pfizer,
NCT02044822,Idelalisib,DRUG,B-cell Chronic Lymphocytic Leukemia (CLL) With 17p Deletion,phase2,TERMINATED,Gilead Sciences,
NCT02044822,Rituximab,DRUG,B-cell Chronic Lymphocytic Leukemia (CLL) With 17p Deletion,phase2,TERMINATED,Gilead Sciences,
NCT03034902,Combined EEG and fNIRS,DEVICE,Stroke,na,TERMINATED,"The University of Texas Health Science Center, Houston",
NCT01675037,Biological evaluation,OTHER,Obstructive Hydrocephalus,na,TERMINATED,"University Hospital, Toulouse",
NCT00295737,"bronchoscopy, allergen/endotoxin instillation",PROCEDURE,Atopy; Rhinitis; Bronchial Asthma,na,TERMINATED,Fraunhofer-Institute of Toxicology and Experimental Medicine,
NCT00006472,carboplatin,DRUG,Esophageal Cancer,phase2,TERMINATED,Medstar Health Research Institute,
NCT00006472,fluorouracil,DRUG,Esophageal Cancer,phase2,TERMINATED,Medstar Health Research Institute,
NCT00006472,paclitaxel,DRUG,Esophageal Cancer,phase2,TERMINATED,Medstar Health Research Institute,
NCT00006472,conventional surgery,PROCEDURE,Esophageal Cancer,phase2,TERMINATED,Medstar Health Research Institute,
NCT00006472,radiation therapy,RADIATION,Esophageal Cancer,phase2,TERMINATED,Medstar Health Research Institute,
NCT00987545,QAX576,DRUG,Keloids,phase2,TERMINATED,Novartis Pharmaceuticals,
NCT00987545,QAX576 placebo,DRUG,Keloids,phase2,TERMINATED,Novartis Pharmaceuticals,
NCT01011777,MDC,DRUG,Bladder Exstrophy; Urinary Incontinence,phase1,TERMINATED,Johns Hopkins University,
NCT00906477,Modified CI therapy,PROCEDURE,Cerebrovascular Accident,phase3,TERMINATED,University Hospital of North Norway,
NCT02141477,Omacetaxine,DRUG,Leukemia,phase1,TERMINATED,M.D. Anderson Cancer Center,
NCT02141477,Decitabine,DRUG,Leukemia,phase1,TERMINATED,M.D. Anderson Cancer Center,
NCT02498977,Biomarker,OTHER,"Transplantation, Liver",phase4,TERMINATED,King's College London,
NCT02498977,"Tacrolimus, cyclosporine and/or mycophenolic acid, mycophenolate mofetil or azathioprine",DRUG,"Transplantation, Liver",phase4,TERMINATED,King's College London,
NCT01617057,tiludronic acid,DRUG,Otosclerosis,phase3,TERMINATED,Assistance Publique - Hôpitaux de Paris,
NCT01617057,Placebo,DRUG,Otosclerosis,phase3,TERMINATED,Assistance Publique - Hôpitaux de Paris,
NCT00149357,Thrombophilia Testing,OTHER,Venous Thromboembolism; Fetal Death,na,TERMINATED,McMaster University,
NCT03601819,Pacritinib,DRUG,"Lymphoma, T-Cell, Cutaneous; Lymphoma, T-Cell, Peripheral; Chronic Lymphocytic Leukemia; Lymphoproliferative Disorders; Waldenstrom Macroglobulinemia; Lymphoplasmacytic Lymphoma; Mantle Cell Lymphoma",phase1,TERMINATED,University of Michigan Rogel Cancer Center,
NCT04232228,No intervention,OTHER,Crohn Disease,na,TERMINATED,Janssen-Cilag Ltd.,
NCT02765165,USL311,DRUG,Solid Tumors (Phase 1); Relapsed/Recurrent GBM (Phase 2),phase1; phase2,TERMINATED,"Proximagen, LLC",
NCT02765165,USL311,DRUG,Solid Tumors (Phase 1); Relapsed/Recurrent GBM (Phase 2),phase1; phase2,TERMINATED,"Proximagen, LLC",
NCT02765165,USL311,DRUG,Solid Tumors (Phase 1); Relapsed/Recurrent GBM (Phase 2),phase1; phase2,TERMINATED,"Proximagen, LLC",
NCT02765165,Lomustine,DRUG,Solid Tumors (Phase 1); Relapsed/Recurrent GBM (Phase 2),phase1; phase2,TERMINATED,"Proximagen, LLC",
NCT03044600,Chart Review,OTHER,Parathyroid Disease; Hyperparathyroidism,na,TERMINATED,M.D. Anderson Cancer Center,
NCT03044600,HRPT2 Mutation Evaluation,OTHER,Parathyroid Disease; Hyperparathyroidism,na,TERMINATED,M.D. Anderson Cancer Center,
NCT00060346,rituximab,BIOLOGICAL,Lymphoma,phase2,TERMINATED,Eastern Cooperative Oncology Group,
NCT00060346,cyclophosphamide,DRUG,Lymphoma,phase2,TERMINATED,Eastern Cooperative Oncology Group,
NCT00060346,Doxorubicin,DRUG,Lymphoma,phase2,TERMINATED,Eastern Cooperative Oncology Group,
NCT00060346,Prednisone,DRUG,Lymphoma,phase2,TERMINATED,Eastern Cooperative Oncology Group,
NCT00060346,Vincristine,DRUG,Lymphoma,phase2,TERMINATED,Eastern Cooperative Oncology Group,
NCT02921646,Measure of resting energetic expenditure,OTHER,Metastatic Pancreatic Cancer,na,TERMINATED,Center Eugene Marquis,
NCT03134703,Methadone,DRUG,Neonatal Abstinence Syndrome,phase2,TERMINATED,Johns Hopkins All Children's Hospital,
NCT03134703,Morphine,DRUG,Neonatal Abstinence Syndrome,phase2,TERMINATED,Johns Hopkins All Children's Hospital,
NCT06181227,AVD-104,DRUG,Diabetic Macular Edema; Diabetic Retinopathy,phase2,TERMINATED,"Aviceda Therapeutics, Inc.",
NCT04634461,Cardiac Monitor,DEVICE,Atrial Fibrillation Paroxysmal; Panic; Panic Disorder; Panic Attacks,na,TERMINATED,State University of New York at Buffalo,
NCT05016661,ABP-450,DRUG,Migraine,phase2,TERMINATED,"AEON Biopharma, Inc.",
NCT03025386,logatoms test,OTHER,Cochlear Implant,na,TERMINATED,"University Hospital, Montpellier",
NCT03025386,Electroencephalography,OTHER,Cochlear Implant,na,TERMINATED,"University Hospital, Montpellier",
NCT01103141,Micropuncture needle set,DEVICE,Complications,na,TERMINATED,Cook Group Incorporated,
NCT01103141,Standard gauge-18 needle set,DEVICE,Complications,na,TERMINATED,Cook Group Incorporated,
NCT02888756,iHIVARNA-01,BIOLOGICAL,HIV Infections,phase2,TERMINATED,Rob Gruters,
NCT02888756,TriMix,BIOLOGICAL,HIV Infections,phase2,TERMINATED,Rob Gruters,
NCT02888756,Placebo,BIOLOGICAL,HIV Infections,phase2,TERMINATED,Rob Gruters,
